scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_FD_RD,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,total_moves
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' F D2 B2 U L B,D' B D2 B2 D' F' R F,U F' R' F' U2 B' U2 R F U' B R,D B2 D' L2 D B2 D' L2,U B2 U F2 D' R2 D F2 U2,D2 F' D2 B D2 F D2 F' D2 B' D2 F,,56
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B' R U' R B' U B' U2,F D R F' D' R' D2 B F' R2,B2 L' B2 F' L2 U L' B L' B F L B2,R2 D' U F2 D U',,U B2 U F2 U' B2 U F2 U2,,46
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L B F2 U' F' U' L',F' U R B L2 D F L2 U F,D R' U' F L2 F' L2 U' F' U2 R D',R2 D2 R2 B2 U2 L2 F2 U2 B2,U' L2 U' R2 U L2 U' R2 U2,,,47
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R' F' U' F L2,R' D' B2 L R' B L' R2 D,L' B L F U' B' U L U' L' R' U R F',L2 U R2 D' B2 D R2 U',U' L2 U' R2 U L2 U' R2 U2,L2 D' U B2 D U',,52
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B2 U2 B' L F' R' F2,D R U R U F' L' F' U2,F2 R' F2 D2 F' L2 U' L2 F D2 F2 R F2,U' F2 U B2 D' L2 D B2,D F L U' F2 D R' D' F2 U2 L' U' F' D',U B2 U F2 U' B2 U F2 U2,,61
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' R2 B' U F2 U L F',R' B2 D B2 D B2 R' B' R2,U' B' U R' D' B2 D2 U2 L F2 D' U2 B' R2,U2 F2 U2 F U2 L2 F2 L2 F U2 F2 L2 F L2,,F2 D' U L2 D U',,51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R U2 F L' D' F,U R' B L2 F' D R F2 L' D,F L2 R2 B2 R' D' F2 D F2 L2 B R' B F,U' F2 D L2 D' F2 U B2,D' B D2 L2 B D' L2 D B' L2 D2 B' D B,U2 F2 D' R2 D F2 U' B2 U',,62
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F2 R' F D F2 R2,F' L B' U2 R' B U L' D' F,U2 F U' F U2 L2 U2 F2 U L' U L2 U,R F R' B2 R F' R' B2,F2 D' U L2 D U',F2 D' F L2 D2 B D2 B' U B U' L2 D F,,58
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R U2 L D2 U' F' L',U' L2 D U2 R U' B' D B2,D B L' F' L2 U L2 B F U B U' B2 L D',U' F2 U B2 D' L2 D B2,,B R' B L2 B' R B L2 B2,,48
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 L' U' B2 R2 F' R2,D2 B' U R F D' F' U' B2,R D' B' R2 B2 U' L' B' D B2 L D L' U B,D' L2 U R2 U' L2 D B2,,U2 F2 U' B2 U F2 U' B2 U',,49
