scramble,orientation,Step_UB_UF_UL_UR,Step_DBL_DBR_DFR,Step_FD_RD,Step_GEN,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',F U' R U2 R2 F' R,U' L U' B2 D2 F2 R D2 U' B' U B2,,B2 U2 F2 L2 D2 F2 L2 U2 R2,,B2 U' F2 D L2 D R' U2 B2 D2 L' U',46
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,L U2 F' U L' U F,R F L R2 F' R' U2 F2 U2 L' F' U,,U R2 D U2 F2 D L2 D2 U L2,U' B2 D' U R2 D,D' L2 U L R2 D2 U2 R' D' F2 U B2,52
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,B U2 B2 R U2 B U' R',R2 U2 B2 U2 L' B U' L U' B2 U2 R2,,D' U B2 D U' L2,,B2 R F R' B2 R' B F' U2 B' R',43
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,R' D' F' D B' U R2 B R,F' L R' U B' R2 B L' R F D2 B' D2,,D2 B2 U' F2 U B2 D' L2 D',B' L U' R U R B' R' B L' R' B,R B F' U2 B' F R,56
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,U2 L U L',U L2 B' F U' B' L B' U F' L' F' L' B',,U L U2 B2 D2 R D2 B2 U,D2 L2 D B2 U' F2 D L2 U,F U L2 B' R D R' B L2 U' F',53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,F' U2 F2 U F' U2,F U2 B F2 D' L' D' U F2 D2 U F' U' B',,B2 D2 B2 R2 U2 F2 L2 U2 R2,D' U R2 D U' B2,B2 R F R' B2 R' B F' U2 B' R',52
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',U' F' U2 B' F U' B,R' D' R2 U B D2 R2 D2 U F L2 D' F R,,L2 D2 L2 B2 D2 L2 B2 D2 B2,B' L' B2 L' F L B2 L' F' L2 B,,47
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',B2 R B' U2 B R' B2,U R2 F' D U' B2 R' D B D' R D',,R B' U' B' D2 B U B' F2 L D2 B2 U2,L2 D B2 U' R2 U B2 D' F2 L2,D' U R2 D U' B2,54
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,U2 F U R' F' R,B' R F2 U' B2 D2 L2 B2 D' R2 D' R' B,,D' U B2 D U' L2,B2 R B2 U2 B D2 F' L2 F D2 B R' B2,D' L2 U R2 U' L2 D B2,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',B' D2 F' D2 B U2,B R U L' U2 R' B' U B' U B U' L,,D2 B2 U' F2 U B2 D' L2 D',B2 R B2 U2 B D2 F' L2 F D2 B R' B2,B2 U' F2 D L2 D' F2 U,54
