scramble,orientation,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FD_RD,Step_GEN,Step_DBL_DFR_UF,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' R D,U2 F U' R2,L' B U2 B2 L,U' F U' F' L' U' L,U2 L R' F L' R U2,B R D' R' B' L' F' D F L,B2 L2 U L2 R2 D' R2 B2 U',45
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R2 B' U2 F D2 F',F D' F',U F R' F',R' U L R,L' R B D2 L R' B2 U,U' R2 D' R2 U L F' L2 F L,L2 F2 L U R' D2 R U' L,44
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U B2,B U R2,B L' B L2 B2,R' U' F' U F' R,U L2 R2 D' L2 R2,U B F L B F' D' B2 U',L R D2 L' B' R F2 R' B R',43
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R' F R' D2 F' R2,B U2 R',U2 B' U B2,R2 U L,L' R B D2 L R' B2 U,U B U B' U' L' B' L U',L R D2 L' B' R F2 R' B R',44
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D R' B',R' U' R' U' R2,B F' L2 F U B',R2 U2 F2,B F' L' U2 B' F R2,L R' U L F L' F' U' L' R,F R' F L2 F' R F L2 F2,43
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L R' F2 R U L',B2 U F U' B2,B L2 D2,U' L U2 L2 U' L2,B' F' R B' F D' B2,R' D U2 B U' B' D' U' R,L' F2 L R' D2 R,42
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B',F U' R2,L' B U' B2 U L,F2 D' F D F,D' B2 F2 D U B2 F2,D' F R B' R B R2 B' L R B F',F2 L2 F2 U' B2 R2 B2 U,43
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U L U L',U B' U' R2 B,B U2 R' B',F',U L2 R2 D2 L R' B' L R',L R2 B F' R' F' R B' F2 L' R2,F2 L2 F2 R' U R' B2 R U' R,44
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R B2 L B R',L' B2 R B2,R F D2,B2 R D R' B2 U' L',R B U B' U' R' U',D B F' L2 R' F L2 B' U2 R' F' R,B2 D R2 F2 L2 U F2 R2,46
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',L' B' L F R2 F',R' F R,L' R B D2 L R' B2 U,D' L' R B' F R' B L B' R B R',U' L2 U' F2 D L2 F2 D L2 U' F2 U',47
