scramble,orientation,Step_DBL,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FD_RD,Step_UB_UF_UL_UR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' F' U2,B2 D2,U F2 U' R2,R B2 D' B2 F2 U' F2 R,U' R U' B D F2 D' B' U R',L2 R2 U L2 R2 D',D2 F2 L2 F2 D F2 L2 F2 D',46
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,F2 L' B L R' D' U B',D',B2 L B2 F2 R' F2,U B2 L B2 F2 R U',L' R2 U' L2 R2 D L',L2 R2 D' L2 R2 U,R2 D B' F D2 B' F' L2 U L2 B2,46
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D L2 B' R' F',,U F L' U' B2 U L F',B2 F2 L B2 F2 R',R' U L U' R' D' R2 U L',U2 B2 F2 D B2 F2 U,R2 F2 U L2 F2 R2 D B2,44
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U R' U L' B' D F L',R' B2 F2 L F2,R' U' L2 R2 D L2 R',D' F2 U F2 D,U2 B2 U' L2,F2 U' B2 R2 F2 D' B2 L2,R2 F2 U' L2 R2 D2 L2 B2 L2 D B2,48
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D2 L B' R2 B2 R F',L' D' L2 R2 U L' R2,R2 D,F2 U' L B2 F2 R' D' B2,U L U R B2 R' U' L,R2 B F' U2 B' F,D B' F D U' F2 D' U B F' D,49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U B F D2 R' D F U,L2 U' L2 D,B' R F R D2 R' F' R' B,R' U L2 R2 D' L2 R,U2 L D2 U2 R' D,U' F2 U B2 F2 D' B2 U,F2 L2 D L2 F2 L2 D L2,50
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,F2 D2 B' L R U R B',F' R U B2 U' R' F,F2 L B2 F2 R,U B' L U F2 U' L' B,U2 B2 U2 L2,R D2 L2 U2 L2 D2 R,D R2 F2 R2 D R2 D F2 R2 B2 U B2,51
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' R D2 B' D' R' U',B2 U2 R2 U R2 U2 B2,R2 D2,L2 R' D' R' D2 L2 R' U R',D U F2 D' U',R2 U' L2 R2 D L2,F2 L2 B2 U F2 R2 F2 U' B2 F2 D2,47
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L2 U F' U B D F,L D2 F2 U2 R F2 D2,U' L' F D B2 D' F' L,F2 L B2 F2 R',L F2 D2 F2 L U' L2,F2 L2 B2 D2 R2 B2 L2 U2,D' L2 D' L2 F2 L2 D' L2 F2 D,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F D' B R B U2 R',L2 U' B2 R' B2 F2 L',L2 U B2 U2,L U2 B2 D2 R F2 D' B2,L U F' U' L2 D' L' D U F L,L2 U R2 B2 R2 U L2 F2,L' U' L' B2 F2 U' B2 F2 D L U L,58
