scramble,orientation,Step_FD_RD,Step_DBL_DBR_DFR,Step_UF,Step_BL,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',L2 F2 R D2 L' R',F L D' L D' U B' D L' U',D2 L' D2 U2 R U2,L2 U2 R2 U F2 U L2,L' D L F2 L2 D L D' L F2,U F2 L' D2 F2 U2 R' B2 U,52
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,B2 L2 F L B2,L2 B D2 B' L U2 R' U' B' U',U F2 L U2 B2 D2 R B2 U,L' R B2 R B2 F2 R',B2 R' F2 D2 B2 L' F2 U2,U' R2 D F2 D' R2 U,50
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',R D' F L' R' F2,L2 F' L2 U' F' D2 U F' L,F2 D U' R2 D' U,R' F2 U' B2 L2 F2 D' B2 R',L F' D2 F' U2 B R2 B' U2 F2 L,R2 D U' B2 D' U,51
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',L' D B' F2 D' B,U B D2 B' D' B U' L' D',D2 L' D2 U2 R U2,R' D L2 R F2 L D' L' F2 L2 D',D' F2 D L2 D' F2 D,R' B' F D2 B F' R',49
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,R F' D' L2 R' F2,U B2 D' L2 D B U' F2 L D2,L' D2 U2 R D2 U2,R' F2 D B2 F2 U' B2 R D',U B2 L2 U' L2 F2 D' F2,B2 U' F2 U' R D2 F2 U2 L' D L2 D,54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',B' F L D' B F2,L2 D' L B D2 L B2 D L' B',L D2 U2 R' D2 U2,R' B F' U2 B' F R',D2 F2 U B2 U' F2 D2,U F2 L' D2 F2 U2 R' B2 U,46
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,F D' F2 R D2 L' R',D L' D2 F' L B R' D R B',L2 D' L2 D L2,L D' L' D' F2 D L D' F2 D2 L',D2 B2 D U R2 D' U' B2,L2 U2 R2 U2 L2,49
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',B' D' F' D' L B,L' U' R' D' B' F2 D B U F',,B2 U2 F2 R U2 B2 D2 L,L U' L2 B2 R2 D' R2 B2 L,R2 D U' B2 D' U,43
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',B R' D' R' B' F' R2,D2 R' B' U' L' U B R D',F2 D U' R2 D' U,R B2 D2 F2 L U' B2 U' F2 D2,L2 U L' B U' F' U B' U' F L',D B2 U R2 U' B2 D',54
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,B F' R2 F U B' R2,D B' U' L R F' R' D U B,D2 L' D2 U2 R U2,F' U2 R' D B2 D' R U2 F,F L' F' L2 B F L' F' L B' L2,D' R B' L U' B2 R2 B2 U L' B R' D',58
