scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_GEN,Step_BR_MD_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_FD_RD,Step_UB_UF_UL_UR,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,L2 R2 B R2 D' B' L F',B R' D B' U2 L' F' U2 R,,,,,,,17
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,F L' F L2 B' U2 L,B2 R D2 R D B D' B' R,,,,,,,16
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,R U2 B2 D' F R2 B,B L2 U R' D' B2 U' B',,,,,,,15
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B R B F D' L U' R2,F' R2 B L2 F L2 F D B',,,,,,,17
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F2 U' B' U L R2 B,B U L' F L D' U' B',,,,,,,15
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,U R2 B F R' B U2 L',B2 L F' R B F D' L' B,,,,,,,17
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,D2 R2 U' F2 L B2 D' F,U R F' D2 F U2 B U B',,,,,,,17
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,U2 F U L' F2 U F',B2 R2 B' D2 B' R' D' B' R,,,,,,,16
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,L F D L U2 L2,U F' U' B' U F U',,,,,,,13
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,L F2 U2 R B' U' F' R',U F U' R' B2 L B' L' B',,,,,,,17
