scramble,orientation,Step_DBL_DBR_DFR,Step_UF,Step_FR,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B' D' U L2 R2 B' D R2,D',R2 D2 R2 D2 R2,R2 U2 L2 U2 R2,U2 B2 R F2 D2 B2 L F2,R' D2 L' B2 L2 D2 L' D2 R D2,B2 F2 L2 D B2 F2 U' R2,46
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D U' F L' B' L' R' F L',U2 L2 B2 F2 L2,D' R' B2 F2 L U B2 F2,D' B2 D F2 U' F2,B' L' B U' F2 U B' L B,L' B2 R' U2 R2 F2 R' B2 L D2,R' U2 R2 U2 R2 U2 R',54
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U R' U L' B' D F L',L D2 U2 R' D U2,F2 R' B2 F2 L B2,F2 U2 B2 R B2 U2 F2 L,D2 U2 L' D2 U2 R,D' L2 D R2 U2 L2 U' R2,U B2 F2 D B2 F2 U2,49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R2 U' R2 B' U R B U2 R',L' D2 U2 R D U2,U2 B2 L2 R2 B2,L' B2 F2 R B2 F2,D R' D' L2 R2 U L2 R',B' D2 F' R2 F2 D2 F' R2 B R2,B F' U2 B' F R2,50
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' U2 L' F L U B L' F,D,R B2 F2 L' B2 F2,F' L D B' U2 B D' L' F,L2 F2 L' U L F2 L2 U R U' R',D2 U2 L D2 U2 R',B2 F2 L2 D B2 F2 U' R2,50
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B' L B' D' R' F D' B R2,L D2 U2 R' D U2,U2 B2 L2 R2 B2,D2 R2 U' R2 D L2 D,R D R' U R' U' R D' R',L D2 L D2 F2 L2 F2 L' F2 L' F2,B2 F2 L2 D B2 F2 U' R2,55
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,R' B D F2 L2 D' U' R' B L,D,B2 L' B2 F2 R F2,D' L' D L2 R2 U' L' R2,R U R D R2 U' R' D' R,D2 L' U' B2 R F2 R2 U2 R B2 U L,U2 B2 F2 D B2 F2 U,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D2 L B L F U' R B F,B2 F2 U' B2 F2,F2 R U' B2 F2 D L' B2,R D2 L U R2 U' L' D B2 D R',L2 R2 U' L2 R2,D' F2 U B2 U' F2 D,B2 D' F2 L2 B2 U' F2 R2,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' L' D' L R B U R,D',R U B2 F2 D' L' B2 F2,L2 B' R2 F' R U F' R U2 B U' L,L2 U' F2 U L2,B2 D U' L2 D' U,U' L2 F2 L2 U L2 F2 L2 U2,49
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B2 L2 U' F' U B D F,R D2 U2 L' D' U2,,L2 B R2 F R' D' F R' D2 B' D L',F2 D L' B2 F2 R U' B2,B2 F2 R' B2 F2 L,U L2 F2 L2 U2 F2 L2 F2 U,49
