scramble,orientation,Step_UF,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_GEN,total_moves
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',B' F2 R B,L' B' R2 U R2 B F' L',D' L' D' L D2,U' F' L' F2 L F U,B' U' B D2 B' U B D2,L U' L' U L' B2 R D' R' B2 L,F' U2 B2 L' D2 B2 U2 R' F',53
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,B L B' R2,D' B F D2 R2 B' R2 D L' D2,R' B' F D2 B F' R',U B' D B U',L F2 L' D B2 D' L F2 L' D B2 D',L2 F2 D' F' D F2 L2,B F' D' F D B' F L' F' L,57
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' U' R',B U' F2 U F' R' D' R B' L,U R D R' D B' L B' L' B2 D2 U',B' U2 F U2 B2 D2 B',U2 F D' F' R' D' R D U2,L U' F' U F L F' L2,B F' D' F D B' F L' F' L,60
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',L U2 F U',B2 F' L B2 U L' U' L2,R B2 D R D' R' B' D' B' R',U' F' D F D' U,R B2 R' B2 R',D' B D2 R D R' F D' B' D F' D2,,47
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',F2 R2 U',L2 R D2 R' D F' L' D L2 F2,U R2 D U' B2 D',D F2 D' U L2 U',D' L U B' L' B D L U' L2 F L,B2 U R2 U' B2 L' D L,B F' D' F D B' F L' F' L,57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,F R2 U' R',U F2 L' U' R B' F2 U' B,D U R D' R' U',D' L D F L' F' L',D2 U2 L D2 R' D2 R D2 L' U2,L' F' D F L2 B2 U B U' B L',F R U2 B2 D2 L B2 U2 F,59
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B2 D2 B' U B',B R U R' D2 B' F' L' F L',L' B U R' U R U2 B2 D L D' B L,F D L' R F2 L R' D F',B' U2 F' U2 B2 D2 B',L' R D F' D' F L R',F' U2 B2 L' D2 B2 U2 R' F',62
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R,B' L' U L' D U' L2 D2 B F,U B2 L F' L B' L F2 U2 B' R' F' U,B' U2 F' U2 B2 D' B',U2 F D' F D F2 U' R2 U',L2 U2 F' R' F U2 L2,B F' D' F D B' F L' F' L,60
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,F R2 U' R',R U' F' D R2 D' U R F,D U' B2 D' U R2,L2 D' L' D' L D2 L2,B D B' L2 U' F2 U L2,U2 B' U F R' U' R B U F' U2 L U',F' U2 B2 L' D2 B2 U2 R' F',59
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',R',B' F2 D R F2 R' B F2,R B D' B' R B D' R' D' R D2 B' R2,F2 D' F' D U' R U F2,L2 R F' R B U2 B' R2 F L2,D B D B' D2,F R U2 B2 D2 L B2 U2 F,55
