scramble,orientation,Step_BR_UBR,Step_FL_UFL,Step_BL_UBL,Step_FR_UFR,Step_FD_RD,Step_GEN,Step_DBL_DBR_DFR_LD,Step_UF_UR,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,R' U F2,L' F' L2 D' F,R' U2 R B2 L' B2,B' R B L2 D' L2 R',U' L R' F' L' R,F U R' U' R' U R2 U' R' F',B' U B' L2 B U' R B' L2 B R' B,R2 D B F' R2 B' F D R2,58
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,B2 U2 R',B U' B2,B L2,R U2 L F' R2 F' L',U2 B F' L' B' F U2,R' F2 R2 B L2 B' L2 B2 L B L R',B2 L2 B U F' D2 F U' B,B2 U B' F R2 B F' U B2,52
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,F2 L' F2 U' F,R2 D L D' R2,B' F R2 B U F',F2 D2,U' L2 R2 D L2 R2,L2 R B' L' B L2 R' F' L F,L' B L' F2 L B' L' F2 L2,D' L2 F2 L2 D' L2 F2 L2,51
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,U F R F' R',U2 R2 U2 B2,D' B L',R' F2 L F2 U2 R B2,L' R B D2 L R' B2,R U2 L2 D' R2 D' L2 U2 R,R2 D2 B2 U F2 R2 U2 R2 U L2 F2 U2 B2,L2 F2 L2 D' L2 F2 L2 D',56
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F' D' F2 D2,B2 F D' R2 D R' B2 F',L U2 L2,U' B U2 B2,D L R' B' L' R,R' F' U' B2 D' U2 B2 U' R2 D F R,R' U L D2 L R D L2 R' U' R F2,F U2 B2 D2 B2 U2 F,56
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,B' U' R2,U2 L' B,F U F' L2 B' L2,L' B2 U' B2 U L,U B' F R' B F',B2 D' F R2 B' L B2 R2 D B D' B F',F2 R' U L2 R D' R2 B2 L2 R U' R,B2 U B' F R2 B F' U B2,58
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,B2 U' B2 F D F',B2 U2 R B',B2 L2,F U2 B F' L2 U B',L2 R2 D2 L2 R2,L B2 L' F' L' B L' B U2 R U2 L2 F,B2 L2 B2 U' B' F2 D' B R2 F' U F',L2 F2 L2 D' L2 F2 L2 D',57
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,F R' D,R' F2 R' D2 R2 U' L',U2 L2 U' L' U L2,L U B',U2 R B' R' U' B' U B,L' B2 F' L2 D' L2 D B2 L2 D' F L,B' U B' L2 B U' B' L2 B2,B2 U' B' F R2 B F' U' B2,57
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' D2 R2 D,B' U' B' F R' B2 F',U2 L U2 L2 U' L2,L D' B D,B' F R B F',F2 D F L2 B' L' B' F R' U2 R B2,R2 B' L2 D2 B2 U2 F' U2 B2 L2 B' U2 B2,B2 U B' F R2 B F' U B2,60
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,F U2 F2 U' F2 U' F',U2 L F2 U2 L',B' F' D2,R U B R,B2 F2 D B' F R B' F D',L F U2 L' B2 L D2 L2 D2 U2 R' F' L',U B2 U2 R2 U' B2 U2 L2 D F2 D2 L2,B2 D' L R' B2 L' R D' B2,62
