scramble,orientation,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_UB_UF_UL_UR,Step_FD_RD,Step_DBL_DBR,Step_GEN,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B',F U' R2,F2 D' F D F,L' B U' B2 U L,L' R U2 F' D2 U2 B D2 B2 L R',L F R' F R F2 L',R2 B2 F2 L2 D R2 B2 F2 L2 U,,44
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U B2,B U R2,R' U' F' U F' R,B L' B L2 B2,D' L R' B D2 U2 B2 D2 L' R B2,B' R' U' R U B U,R U2 R' U' F' U2 L' U2 L U F,R' U' R B L' B2 D' B' D B' L B',59
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D R' B',R' U' R' U' R2,R2 U2 F2,B F' L2 F U B',U' B' F' R F2 D2 B F U F2 R2,U R B L' B L B2 R',R' U2 R U' B U B' U R' U R,R' U' R B L' B2 D' B' D B' L B',59
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U L U L',U B' U' R2 B,F',B U2 R' B',U R2 B F' R B2 D2 B F D R2 F2,F' L' U' L U F U',B L' U2 L B' L' B U2 B' L,F2 L' B L' B' L2 U2 R' F' R U2 F2,55
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R B2 L B R',L' B2 R B2,B2 R D R' B2 U' L',R F D2,R2 D2 B F' R' D2 U2 B' F U' L2,U B' U' R' U R B,B' R2 D2 F2 D F2 D R2 B2 U' B',,48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R' F R' D2 F' R2,B U2 R',R2 U L,U2 B' U B2,U2 B2 D' F2 L R D2 B' U2 L R,B' R' U' R U B U,F U2 F D F' U2 F D' F2,F2 L2 B F D F' D' B' L2 F L F L',57
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' R D,U2 F U' R2,U' F U' F' L' U' L,L' B U2 B2 L,U L2 B F' R' U2 B' F R2 D L2,B L U L' U' B',B' R' U R U R' U2 R U B,L B' D2 L2 B' L' B L' D2 R F' R' B L',60
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',R' F R,L' B' L F R2 F',R2 F2 D B2 L R U2 B L R' B2,L' U' B' U B L,F' L2 B' R' F U2 F' R B2 L' B' F,F2 L2 B F D F' D' B' L2 F L F L',57
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R2 B' U2 F D2 F',F D' F',R' U L R,U F R' F',D2 R2 U L R' F' R2 B2 F' L' R,L' B' U' B U L,U R2 D' L F2 L' D R U2 R,L B' D2 L2 B' L' B L' D2 R F' R' B L',58
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L R' F2 R U L',B2 U F U' B2,U' L U2 L2 U' L2,B L2 D2,U2 B F R' D2 B' F' L2 D' F2 L2,U R U B U' B' R',U2 L2 B' L' U2 L B L' U2 L' F U2 F',L B' D2 L2 B' L' B L' D2 R F' R' B L',65
