scramble,orientation,Step_FL_UFL,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_UF_UR,Step_FD_RD,Step_GEN,Step_BD_DBL_DBR_DFR_LD,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B',F U' R2,F2 D' F D F,L' B U' B2 U L,B' F D2 U2 L' U2 B F' R2,B F' L B' F,U B U' F' U B' U' F,R B' R F2 R' B R' B2 L2 B2,48
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' R D,U2 F U' R2,U' F U' F' L' U' L,L' B U2 B2 L,D L R' B L' R D2,R' U' F' U F R U,R' F' L2 F' L' F2 R B' U2 B,L2 F2 D R2 F2 U R2 F2 U R2 D' L2 U',56
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D R' B',R' U' R' U' R2,R2 U2 F2,B F' L2 F U B',B' F R' B F',B F' L B' F U2,L F U L' F2 L2 F2 L U' F' L',L2 F2 D R2 F2 U R2 F2 U R2 D' L2 U',52
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L R' F2 R U L',B2 U F U' B2,U' L U2 L2 U' L2,B L2 D2,B' F D U' B D' U R B F',L2 U L R' F' L R,R' F' L F' L2 R U2 L U2,U B2 R2 F2 D F2 R2 B2,54
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U L U L',U B' U' R2 B,F',B U2 R' B',R2 B F' R B' F D' R2,B U L' U' L' B' L' U L,L U L' U' L' B L F' L' B' F,L2 B2 R D R' F2 R D' R' B2 F2 L2,54
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',R' F R,L' B' L F R2 F',B' U' R' D B2 D' U R' B,D B' F R2 B F' D',L2 R' F D F' D' L' F' L' R,F2 D L2 D' L2 B2 U' B2 R2 D' R2 F2,53
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R2 B' U2 F D2 F',F D' F',R' U L R,U F R' F',L2 R2 D' L2 R2,B' U' R' U R B U2,D2 B' U2 B U2 F R2 B R2 F' D2,R' B D B' R U2 B D2 R' D R D B' U2,54
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R' F R' D2 F' R2,B U2 R',R2 U L,U2 B' U B2,U R2 U' L' R B L R,F U R' D' F D R U' F',F2 L2 F' R' B D2 B' R F',D' B' U B' L2 B U' R B' L2 B R' B D,57
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U B2,B U R2,R' U' F' U F' R,B L' B L2 B2,U' L2 D L' R F' L' R',L R' F L' R U2,B L F' L' F' L' F' L B' F2,U2 B2 L' U L' R2 F2 L2 D L' R2 U' L U2,56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R B2 L B R',L' B2 R B2,B2 R D R' B2 U' L',R F D2,L2 B' F D2 L' B F' L2 R2,B' U' R' U R B,L2 F2 L B U2 R' D2 R U2 B' L,U' F2 L2 U L2 F2 D F2 R2 U R2 D' F2,58
