scramble,orientation,Step_GEN,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_FD_RD,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FL_UFL,total_moves
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D R2 F' R' B',L2 U2 B2 U F2 L2,R B2 D R2 B2 R2 D B2 R D,U L' B2 F2 R D' R' B2 F2 L,R2 D' U F2 D U',D' U B2 D U' L2,U2 F2 U' B2 U F2 U' B2 U',,53
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' R2 D' B' R B' L',U2 L2 U F2 L2,L' F2 D' L2 U F2 D F2 R U2 L',B' D' F' U' R' U F D B R,U' F2 D L2 D' F2 U B2,D' U B2 D U' L2,U2 F2 U' B2 U F2 U' B2 U',,56
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U' R D2 B' D' R',B2 R2 U R2,B2 R' U2 F2 U2 R' B2,,D B2 U' F2 U B2 D' L2,D' U R2 D U' B2,U2 F2 U' B2 U F2 U' B2 U',,40
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B L D' F2 L2 R' F',B2 U R D2 U2 L D F2 R2,R' D U2 L D2 U2 R' D R,R2 D2 U' L' D2 U2 R U' R2,U' F2 D L2 D' F2 U B2,,D2 F' D2 B D2 F D2 F' D2 B' D2 F,U2 F2 D' R2 D F2 U' B2 U',63
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R2 B D F2 U' F',B2 U B2 F2 L2,B' R D2 R2 D' R B2 U2 L U2 B R2,R B' D' F' U' R' U F D B,B' L' B2 L' F L B2 L' F' L2 B,D' L2 U R2 U' L2 D B2,U R2 D' B2 D R2 U' L2,,60
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U B F D2 R' D F',B2 D' F2 U' L2 B2,R D2 U R2 F2 R2 U' L' R' D2 L,U' B D U' L' U L D' U B',B2 U' F2 D L2 D' F2 U,,D2 F' D2 B D2 F D2 F' D2 B' D2 F,D L2 D B2 D' L2 D B2 D2,63
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,R2 B F2 D U' F',F2 L2 R2 U L B2 F2 R,U' R B2 L' R U2 L2 R U',U L' B2 F2 R D' R' B2 F2 L,D' B' L' U B2 D' R D B2 U2 L U B D,,,B2 D' U R2 D U',53
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F2 R D L U' F',D' R2 B2 D R2 F2,R' D2 U R2 F2 R2 U' R2 B2 R',B2 D' R' D2 U2 L D' U2 B2,L2 D B2 D' L2 U R2 U',,B' L2 U2 B2 L2 U2 B' U2 B2 L2 B U2 B2 L2,F2 D' U L2 D U',60
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D2 L B' R2 B2 R F',B2 L2 D' R D2 U2 L U',,B2 D U2 L D2 U2 R' D B2,B2 R F R' B2 R F' R',,D' U F2 D U' R2,F' U B U' F R2 U2 B D' R2 D B' U2 R2,52
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B2 R' F R B D' B L',F2 D' B2 R2 U2 F2,D L2 U2 R D2 U2 L' D2 L2,L B' F U2 B F' L,B2 D' L2 D B2 U' F2 U,,U2 B2 U2 B' U2 L2 B2 L2 F U2 F2 L2 F L2,F2 D' U L2 D U',58
