scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_GEN,Step_FD_RD,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_FL_UFL,Step_UL_UR,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 L' U' B2 R2 F' R2,B' U2 R F' R' D' F2 U2 B',U' R' B2 L' R U2 R U',D' U' L2 D' U B2,L2 D R B' U' F2 U B R',L U' R' F2 R2 U2 L' U R' U2,B2 U2 F2 R F2 U2 B2 L,B2 D' L R' B2 L' R D' B2,67
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' R2 B' U F2 U L F',B R2 U F2 D' F' U' R' B',B2 D' R D2 U2 L' U L2 U,L F R F' U2 B L' B L B2 U2 L',D',B2 R F R' B2 R B' D2 B F' R,B2 D' U R2 D U',B2 D F2 L2 D' R2 B2 L2 U' R2 D' B2,68
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R U2 L D2 U' F' L',B L2 D' B2 F L U' F' D' B',D L R2 B2 L' R U2 L U2,U2 F2 D2 F2 U2 B2,U2 R2 U' B2 D2 R2 D' B2 D2 R2 U' B2,D U L2 D U' F2,D L B F' D2 B' F L D',F2 D' L' R F2 L R' D' F2,68
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F2 R' F D F2 R2,D' B F2 D' R2 D F2 D' B',F D2 B F' R2 B',B2 D B2 D' B2,R2 D' U F2 U',L' D2 B2 U2 R' F2 U2 B2,U2 B2 D' F2 D' B2 U L2 U F2,B2 D L R' B2 L' R D B2,59
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R' F' U' F L2,F2 U2 B' U' R F' U' F' D' B',U2 L D2 U2 R',B2 U2 F2 L' F2 U2 B2 R',U R' U L F2 L2 U2 R U' L U,U R2 U F2 U' R2 U',L2 D U' F2 U,B2 D' L R' B2 L' R D' B2,61
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B' R U' R B' U B' U2,F R2 U B2 R2 D L2 F,U2 L' U2 L R' B2 L' R2,R2 D2 R2 D2 R2 D',D2 B2 U2 L' U2 B2 D2 R',L2 R' D R F2 L2 U L U' L F2 L2,D' L' D L D2 L' D' L D2,R2 B2 U2 L2 B' F' U2 R2 B' F',69
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R U2 F L' D' F,D' R B' F D2 B D B F',L2 F2 R2 U' F2 L2 B2,U R2 D R2 U' B2,F2 R' D' L D2 L2 R U L' U' L2,U R2 D U' B2,L' D' R F2 D R' D R D' F2 D' L R',R2 D' B F' R2 B' F D' R2,67
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' F D2 B2 U L B,R D' U2 L' U2 B' D F' R' F,F' R D R2 D2 B2 D R' F,U' L2 U2 R2 D' R2 U' B2,L B2 R2 U2 R' F2 R2 U2 R B2 D2 L2 D2,D2,L' B' D F D' B D F' L D',R2 D' B F' R2 B' F D' R2,67
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B2 U2 B' L F' R' F2,U' L2 U' R F' R' F' U2 B,B2 L2 F2 U R2 F2 L2,B2 D B2 D' B2,U2 R U' L D L2 U B2 R2 U R U L,F2 L R2 D L' D' R2 F2 R' D' R,L B F' D2 B' F L,B2 D L R' B2 L' R D B2,69
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L B F2 U' F' U' L',D' F' L' D' L F,U2 L' D2 U2 R,R' D B F' R2 B' F D R,D2,L2 U2 R2 U2 L2 D2,D2 B2 L2 D R D' L2 R' B2 L' D L D2,F2 D L' R F2 L R' D F2,56
