scramble,orientation,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_DBL_DBR_UF,Step_GEN,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B' R D,U2 F U' R2,L' B U2 B2 L,U' F U' F' L' U' L,R2 U' B2 U F2 L2 U F2 D' B2,F2 U B F' L' B' F',B F' L2 B' F U2,42
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R2 B' U2 F D2 F',F D' F',U F R' F',R' U L R,U2 L' B' L B' U' B U B,R F D2 L2 U2 B L2 D2 R,L2 B2 D F2 R2 F2 D B2,43
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,D B',F U' R2,L' B U' B2 U L,F2 D' F D F,B' D U L U L' D' U2 B,D' L' R F D2 B' L R' U B2,F2 U' B2 F2 D B2,41
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' U B2,B U R2,B L' B L2 B2,R' U' F' U F' R,U B2 F2 U' B2 F2 D,L' R' F L' R U' L2,L2 B2 F2 R2 D' B2 F2 U,40
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R' F R' D2 F' R2,B U2 R',U2 B' U B2,R2 U L,L' B L U2 R2 F R F' R,B' U B L' R D' B' D L R',U' L R' F2 L' R U',43
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D R' B',R' U' R' U' R2,B F' L2 F U B',R2 U2 F2,U2 L' U' B' U B L,L2 U' L R' F L R,R' U2 R2 U2 R2 U2 R',38
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L R' F2 R U L',B2 U F U' B2,B L2 D2,U' L U2 L2 U' L2,R' U' R U' L' B2 L,D B F R B F' U' B2 D',U B F' L2 B' F U,43
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,U L U L',U B' U' R2 B,B U2 R' B',F',F U2 B R B' U2 F D' F2 U2,U' R' F' R F' U' F2 U' B' R2 B,,35
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,R B2 L B R',L' B2 R B2,R F D2,B2 R D R' B2 U' L',R' F2 R2 B L B' L2 B2 L2 R',U' B' F R B F',F2 U' B2 F2 D B2,41
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F' D',F2 R U R',L' B' L F R2 F',R' F R,L F2 L B R' B2 L' F2 L B L2,F' U' F R2 D L' B L D' R2 U',U' L R' F2 L' R U',44
