scramble,orientation,Step_UF,Step_GEN,Step_FD_RD,Step_BD_DBL_DBR_DFR_LD,Step_BR_UBR,Step_BL_UBL,Step_FR_UFR,Step_FL_UFL,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R' D,D2 U F R2 F' R B' D2,F2 U2 R2,F2 U' R' B D F2 D' B' R U,U2 F2 D F2 D' F2 U2,L' B F' D2 B' F L',U' L2 U' R2 U L2 U' R2 U2,L' B2 U2 F2 R' F2 U2 B2,54
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,B',B2 L D' F2 L2 R' B2 F',F2 U' F2 U2,D2 R2 D' L B2 F2 L2 R' U' L2 B2,L' D' L B2 R' U R' U' R2 B2,U R2 U F2 U' R2 U',R B' F D2 B F' R,L2 D' L2 D L2,53
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,B,B' L' D R2 F' R' B' D,L U2 F2 U2 L' U,D2 B2 R F2 U2 F2 R' U L2 U' B2,D U' R2 D' U F2,L' B2 F2 R U R' B2 F2 L D',U2 R' F2 L F2 U2 L2 U2 L' U2 R,R2 D2 R2 D2 R2,58
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D',D' L' B' F L' D L2 U F',D2 U R D2 U2 L U,L2 D B2 D2 R B2 D2 B2 L2 R' D,L U' R' F2 R2 U2 L' U R' U2,L2 U2 R2 U2 L2,,B2 U2 F2 R F2 U2 B2 L,52
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B',R' U L2 B' U R' B,U R' B2 F2 L' B2,B2 F2 L2 D L' U2 B2 U2 L D' B2,L2 U' F2 U L2,U B2 U F2 U' B2 U F2 U2,B2 U2 F2 L' F2 U2 B2 R',F' D' R B U' B2 U B' R' B2 D F,59
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D' L B,R' F' U B U2 B',U R2,R D2 B2 U2 L' U' B2 D2 R2,R U R' U' R2 B2 L' D' L B2 R2,B2 D B2 U' L2 U,L F R F' U2 B L' B L B2 U2 L',U2 R2 U L2 U' R2 U L2 U,58
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,D L B,B D L F D' F2 U B',D' F2 L D2 U2 R D',F L B D2 B2 F2 R F R' B F2,,L' B F' D2 B' F L',R B2 U2 F2 L F2 U2 B2,U2 R2 U L2 U' R2 U L2 U,53
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D',F2 L2 F L U F' L',R' B2 F2 L D' B2,R' F2 U2 F2 R' B2 R2 D F2 D B2,L2 D2 L2 D2 L2,B2 U R2 D R2 U2 L2 U,F' D' U L F' L' D U' F R,B' L' B2 F' R' D R B2 F L B D',60
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,U L' B,F U' L2 F R' F' R' F',U' R2,F2 U' B F' D2 B' F R2 U L2,R B' F D2 B F' R,D' U L2 D U' F2,R B D' B' R B D' R' D' R D2 B' R2,D' R F2 U2 B2 L U2 F2 D',58
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R' B',R U2 R' F' L2 F',R2 U',U2 L2 F2 U' B2 D2 R2 B2 L2,B R B2 L' D' R2 D' L R2 D B,U B L' B' U R B' D' B' D B2 R' U2,R' B' F D2 B F' R',L B F' D2 B' F L,57
