scramble,orientation,Step_GEN,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_FR_UFR,Step_DBL_DBR_DFR,Step_UB_UF_UL,Step_FD_RD,total_moves
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,R F' D2 B L D' F',U L B2 F2 R',D' F2 U L D2 U2 R,,R B' D R D2 R' D' B R',U' B2 L2 B' U' F U2 B' U F',D2 B2 F2 U' B2 F2 D',L2 U B2 F2 D B F' R2 U2 B F',56
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,D' B2 R' B' U2 R' D' B',R2 U F2,B2 L' B2 F2 R F2,D2,L' U R U' L' D' L2 U R',U2,D2 B2 F2 U B2 F2 D,B2 R2 B2 U B2 R2 B2 U,43
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,D2 R' F2 L B D U2 F',D F2 D',U L2,L' F2 D' R B2 R' D F2 L,D,,D' F2 L2 F2 D' F2 L2 F2,B2 U L' R B2 L R' U B2,40
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,R' F L' R' F2 D' B',R2 D,F2 D R' B2 F2 L',L R2 U' L2 R2 D L,B2 L' B2 U2 F2 R' F2,B2 D2 R2 D' F2 D2 R2 D B2 U2 L2,F2 L2 D' F2 L2 F2 D' L2,U B' F R2 B F' U,55
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,R' U2 R B D' F R2 B',F2 D R D2 U2 L,L2 D',U L' U2 F2 D2 R' F2,U2 R B' D R D2 R' D' B R',B2 D2 R2 D' F2 D2 R2 D B2 U2 L2,D' F2 D B2 F2 U' B2 D,R2 B F' U2 B' F,58
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,R2 F2 D L' F D' B R',U' L B' D' F2 D B L',R' B2 F2 L D,F2 L' B2 F2 R' B2,R F2 D2 F2 R',B2 D2 R2 D' F2 D2 R2 D B2 U2 L2 U,F2 U B2 F2 D' B2,L2 U B2 F2 D B F' R2 U2 B F',61
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,R' U F2 L2 U L F',D2 R2 D,D U R D2 F2 D2 R' D',R' D2 B2 D2 R,F2 L' D2 F2 U2 R' B2,U,D F2 L2 F2 D R2 B2 R2,B2 R2 B2 U' B2 R2 B2 U',47
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,F2 U F' U B D' B',L2 D2,F2 R U B2 F2 D' L,U L U2 F2 D2 R F2,U F L' U' B2 U L F',U' U' B2 L2 B' U' F U2 B' U F' U',L2 D L2 R2 U' R2,U B2 R2 B2 U B2 R2 B2 U U',59
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,R B F2 R F' D B',F2 L B2 F2 R',U2 F2,U B2 U' F2 D' R F2 U2 B2 L,F2 L B2 D2 F2 R,U2 U' B2 L2 B' U' F U2 B' U F' U',U R2 B2 F2 U' B2 F2 D R2 U',,52
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,U R B' F' L' U' F',D' F2 D2,U R' B D F2 D' B' R,U2 F2 D' F2,B2 L' B2 F2 R F2,U2 U' B2 L2 B' U' F U2 B' U F',L2 R2 U' B' F D2 B F' L2 D,R' U2 R2 U2 R2 U2 R',56
